"Mnozstvi","Rok","Doprava","Latka","Jednotka"
3.8100149762561615,"1998","motocykly","N2O","t"
3.509118837242564,"1999","motocykly","N2O","t"
3.2391956119273315,"2000","motocykly","N2O","t"
3.238820401311745,"2001","motocykly","N2O","t"
3.0660998808509756,"2002","motocykly","N2O","t"
3.1215532299649866,"2003","motocykly","N2O","t"
2.878954489583578,"2004","motocykly","N2O","t"
2.4074322987392978,"2005","motocykly","N2O","t"
2.3125750480090597,"2006","motocykly","N2O","t"
2.5530943654288825,"2007","motocykly","N2O","t"
2.7209629123621433,"2008","motocykly","N2O","t"
2.859326710189145,"2009","motocykly","N2O","t"
2.5454819939779005,"2010","motocykly","N2O","t"
2.5557582880331333,"2011","motocykly","N2O","t"
2.4326691157939666,"2012","motocykly","N2O","t"
2.059852996644237,"2013","motocykly","N2O","t"
1.6367516876592343,"2014","motocykly","N2O","t"
1.2500655599173363,"2015","motocykly","N2O","t"
0.9962017435649662,"2016","motocykly","N2O","t"
0.8487416501303356,"2017","motocykly","N2O","t"
0.745105236940414,"2018","motocykly","N2O","t"
160.2744,"1993","zeleznicni_motorova_trakce","N2O","t"
129.18619999999999,"1994","zeleznicni_motorova_trakce","N2O","t"
128.8716,"1995","zeleznicni_motorova_trakce","N2O","t"
127.0698,"1996","zeleznicni_motorova_trakce","N2O","t"
109.252,"1997","zeleznicni_motorova_trakce","N2O","t"
137.52924900000002,"1998","zeleznicni_motorova_trakce","N2O","t"
128.186058,"1999","zeleznicni_motorova_trakce","N2O","t"
126.9801104,"2000","zeleznicni_motorova_trakce","N2O","t"
116.294464,"2001","zeleznicni_motorova_trakce","N2O","t"
112.751496,"2002","zeleznicni_motorova_trakce","N2O","t"
110.32358480000002,"2003","zeleznicni_motorova_trakce","N2O","t"
108.9786698,"2004","zeleznicni_motorova_trakce","N2O","t"
110.0604648,"2005","zeleznicni_motorova_trakce","N2O","t"
117.45402240000001,"2006","zeleznicni_motorova_trakce","N2O","t"
116.14903300000002,"2007","zeleznicni_motorova_trakce","N2O","t"
128.73861,"2008","zeleznicni_motorova_trakce","N2O","t"
116.765792,"2009","zeleznicni_motorova_trakce","N2O","t"
113.23895440000001,"2010","zeleznicni_motorova_trakce","N2O","t"
110.64339,"2011","zeleznicni_motorova_trakce","N2O","t"
106.88809559999999,"2012","zeleznicni_motorova_trakce","N2O","t"
104.440622,"2013","zeleznicni_motorova_trakce","N2O","t"
105.7406636,"2014","zeleznicni_motorova_trakce","N2O","t"
103.23004769999999,"2015","zeleznicni_motorova_trakce","N2O","t"
104.49009000000001,"2016","zeleznicni_motorova_trakce","N2O","t"
106.05892257600001,"2017","zeleznicni_motorova_trakce","N2O","t"
108.49564257600001,"2018","zeleznicni_motorova_trakce","N2O","t"
1.466,"1993","vodni","N2O","t"
1.4440000000000002,"1994","vodni","N2O","t"
1.49,"1995","vodni","N2O","t"
1.24,"1996","vodni","N2O","t"
1.04,"1997","vodni","N2O","t"
1.02132,"1998","vodni","N2O","t"
0.597604,"1999","vodni","N2O","t"
0.42691,"2000","vodni","N2O","t"
0.67072,"2001","vodni","N2O","t"
0.33552,"2002","vodni","N2O","t"
