"Hodnota","Jednotka","Rok","Latka","Stat"
"","Kilogram ",2017,"Other plant protection products","Malta"
"2243936","Kilogram ",2017,"Other plant protection products","Netherlands"
"61160","Kilogram ",2017,"Other plant protection products","Austria"
"514066","Kilogram ",2017,"Other plant protection products","Poland"
"1124123","Kilogram ",2017,"Other plant protection products","Portugal"
"83554","Kilogram ",2017,"Other plant protection products","Romania"
"2198","Kilogram ",2017,"Other plant protection products","Slovenia"
"75329","Kilogram ",2017,"Other plant protection products","Slovakia"
"12963","Kilogram ",2017,"Other plant protection products","Finland"
"","Kilogram ",2017,"Other plant protection products","Sweden"
"270493","Kilogram ",2017,"Other plant protection products","United Kingdom"
"33","Kilogram ",2017,"Other plant protection products","Iceland"
"","Kilogram ",2017,"Other plant protection products","Liechtenstein"
"2783","Kilogram ",2017,"Other plant protection products","Norway"
"123495","Kilogram ",2017,"Other plant protection products","Switzerland"
"","Kilogram ",2017,"Other plant protection products","Montenegro"
"","Kilogram ",2017,"Other plant protection products","North Macedonia"
"","Kilogram ",2017,"Other plant protection products","Albania"
"","Kilogram ",2017,"Other plant protection products","Serbia"
"5140313","Kilogram ",2017,"Other plant protection products","Turkey"
"","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","European Union - 27 countries (from 2020)"
"","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","European Union - 28 countries (2013-2020)"
"","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Euro area - 19 countries  (from 2015)"
"2334151","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Belgium"
"1698979","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Bulgaria"
"2562124","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Czechia"
"1953712","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Denmark"
"16706254","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Germany (until 1990 former territory of the FRG)"
"462644","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Estonia"
"1916141","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Ireland"
"1673681","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Greece"
"16077356","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Spain"
"30252649","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","France"
"668739","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Croatia"
"7114263","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Italy"
"138932","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Cyprus"
"801179","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Latvia"
"1251548","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Lithuania"
"60765","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Luxembourg"
"4269854","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Hungary"
"2244","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Malta"
"2901786","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Netherlands"
"1296943","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Austria"
"13655478","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Poland"
"1899471","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Portugal"
"5486476","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Romania"
"235302","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Slovenia"
"1105104","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Slovakia"
"1006413","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Finland"
"1731236","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Sweden"
"9681731","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","United Kingdom"
"1945","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Iceland"
"","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Liechtenstein"
"495111","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Norway"
"562785","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Switzerland"
"","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Montenegro"
"","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","North Macedonia"
"","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Albania"
"","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Serbia"
"11825475","Kilogram ",2017,"Herbicides, haulm destructors and moss killers","Turkey"
